addr,name,betw
0x73295d3c0ca46113ca226222c81c79adabf9f391,Unknown,0.374062569
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex_1,0.265711275
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance_1,0.181899458
0x9c808cd59d94a07053658b00ea12d8e9cbbe8304,Unknown,0.050366383
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io_2,0.042251522
0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,Unknown,0.019714817
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta_2 (Contract|DEx),0.019053124
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance_2,0.016503295
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance_4,0.016114643
0x564286362092d8e7936f0549571a803b203aaced,Binance_3,0.014916713
